,index,issue_description,pred,y
0,4169,network problem india offic telephon summari network problem indiaic welcom net avail agent short interact alert agent websit visitor join conversationdwfiykeo argtmvcumar hello,GRP_0,GRP_4
1,7565,erp schulung raum kann beamer nicht verbinden,GRP_0,GRP_28
2,6974,mm grade chang materi engin tool valid save delet select mm use chang grade rqfhiong zkwfqagb logic eecut verifi engin tool valid new grade work correct save select catalog id grade screen save delet select logic work invalid engin tool valu left rqfhiong zkwfqagb affect user one logic need correct save delet,GRP_29,GRP_20
3,2465,guestcompani access wifi receiv good morn coivmhwj opwckbrv would like access guestcompani wifi week need creat separ access share login access plea advis,GRP_0,GRP_0
4,3378,log erp password need chang receiv hi plea assisti chang window password epir log erp usernam bragtydlcemploye nr plea assist aerp,GRP_0,GRP_0
5,1429,unabl login es protel unabl login es portal,GRP_0,GRP_0
6,5916,hostnam hrtool tainterfac app qa averag sampl total cpu error threshold,GRP_12,GRP_12
7,4638,job job fail jobschedul receiv job job fail jobschedul,GRP_8,GRP_8
8,5339,job job fail jobschedul receiv job job fail jobschedul,GRP_8,GRP_9
9,2683,ticket updat inplant,GRP_0,GRP_0
10,7071,access ethic train modul error messag welcom compani busi ethic conduct center ethic train site record indic log credenti use access site compani collaborationplatform match record file within activ directori plea submit ticket global support center ensur network log id correct enter erp,GRP_23,GRP_23
11,4664,network outag india site hard sinc pm et backup circuit type outag network circuit power plea specifi type outag top cert site yes na start pm et schedul mainten power yes na compani power provid power schedul mainten network yes na compani maint yes provid maint ticket site backup circuit yes na backup circuit activ na yes na site contact notifi phone email yes na remot dial na yes na equip reset na yes na verifi site work backup circuit na yes na vendor ticket globaltelecom verizon telecomvendor telecomvendor telecomvendor notifi gsc na yes na cert start yes na addit diagnost,GRP_8,GRP_8
12,7120,monitor tauschen dhoalycb yopvwrjq,GRP_0,GRP_24
13,2794,wifi work,GRP_0,GRP_0
14,2280,unabl log engin tool,GRP_0,GRP_0
15,4416,job job fail jobschedul receiv job job fail jobschedul,GRP_8,GRP_6
16,6492,ki bug fie correct ki bug fie correct,GRP_0,GRP_18
17,5923,request access mgmt drive receiv good morn request access file,GRP_0,GRP_12
18,472,engineeringtool abl updat new custom,GRP_0,GRP_0
19,5332,job job fail jobschedul receiv job job fail jobschedul,GRP_8,GRP_9
20,4974,job job fail jobschedul receiv job job fail jobschedul,GRP_8,GRP_8
21,2374,abl open cel file abl open cel file,GRP_0,GRP_0
22,319,erp si account lock,GRP_0,GRP_0
23,2614,e time system work plant control receiv error messag whenev tri run rpt plea review attach document order view error messag reach cell offic,GRP_0,GRP_0
24,1055,account lock ad,GRP_0,GRP_0
25,3263,printer driver updat,GRP_0,GRP_0
26,4776,network outag engineeringtoolkuznetsk warehous compani network sinc pm et type outag network circuit power plea specifi type outag top cert site yes na start pm et schedul mainten power yes na compani power provid power schedul mainten network yes na compani maint yes provid maint ticket site backup circuit yes na backup circuit activ na yes na site contact notifi phone email yes na remot dial na yes na equip reset yes na verifi site work backup circuit na yes na vendor ticket globaltelecom verizon telecomvendor telecomvendor notifi gsc yes na cert start yes na addit diagnost,GRP_8,GRP_8
27,1905,reset password receiv hi teamkind plea assist reset si password user kassiahydstheud mddwwylehoper supervisorcompani distribut servic asia pte ltdemail mailto,GRP_2,GRP_0
28,4921,network outag poncac schlumhdyht dmvpn rtr locat usa sinc type outag network circuit power plea specifi type outag top cert site yes na start schedul mainten power yes na compani power provid power schedul mainten network yes na compani maint yes provid maint ticket site backup circuit yes na backup circuit activ na yes na site contact notifi phone email yes na remot dial yes na equip reset yes na verifi site work backup circuit yes na vendor ticket globaltelecom verizon telecomvendor telecomvendor notifi gsc yes na cert start yes na addit diagnost,GRP_8,GRP_8
29,3295,printer work,GRP_0,GRP_0
30,33,erp si account unlock password reset,GRP_0,GRP_0
31,6594,printer setrup id printer setup,GRP_19,GRP_19
32,7954,ngazubi lock,GRP_0,GRP_34
33,7655,mm kr receiv could plea organis mwst ta abovement rqfhiong zkwfqagb number kind,GRP_0,GRP_29
34,540,infopath instal lean event abl add lean event webpag cannot display,GRP_0,GRP_0
35,5416,job job fail jobschedul receiv job job fail jobschedul,GRP_8,GRP_9
36,7283,netzwerk f r scan nicht verf gbar bitt pr fen und vzqomdgt jwoqbuml,GRP_24,GRP_24
37,1720,unabl connect outlook name mikhghytrlanguag browser microsoft internet eploreremail custom number telephon summari cant connect outlook,GRP_0,GRP_0
